tempo,y_centro,v_centro,erro_l2
4.520000000000000129e-01,1.517299464583974538e-03,-3.127038079125028097e-02,1.041917300239598644e-05
4.560000000000000164e-01,1.392217941418973440e-03,-3.137114508939092827e-02,9.712973714958507724e-06
4.600000000000000200e-01,1.266733361061409642e-03,-3.150769571714712169e-02,9.014336348046333931e-06
4.640000000000000235e-01,1.140702578192821261e-03,-3.165378259853154214e-02,8.370425860946183806e-06
4.680000000000000271e-01,1.014087447798695148e-03,-3.175777450189472273e-02,7.729611545157160531e-06
4.720000000000000306e-01,8.870563497911162099e-04,-3.175949412687669587e-02,6.929371388469132654e-06
4.760000000000000342e-01,7.600183732836094264e-04,-3.162287941856592455e-02,6.046729042014640284e-06
4.799999999999999822e-01,6.335268556093456675e-04,-3.137367507468185462e-02,5.801313182619623666e-06
4.839999999999999858e-01,5.080321553106182655e-04,-3.112148389886699659e-02,6.488543551582180054e-06
4.879999999999999893e-01,3.835462197151502791e-04,-3.104255412454778179e-02,6.624929010297632846e-06
4.919999999999999929e-01,2.593760032169591611e-04,-3.130981066015964959e-02,4.669165697679442914e-06
4.959999999999999964e-01,1.341367605763205703e-04,-3.198158473141272246e-02,4.113224390054566311e-06
5.000000000000000000e-01,6.210421650669684839e-06,-3.289370089575739675e-02,1.065583859556479398e-05
5.040000000000000036e-01,-1.253643819323599124e-04,-3.362519087923780681e-02,1.662367856430928850e-05
5.080000000000000071e-01,-2.598651454493111439e-04,-3.360501217311769734e-02,1.662693461220846982e-05
5.120000000000000107e-01,-3.942851941417819389e-04,-3.237986637219855690e-02,8.935049705119294634e-06
5.160000000000000142e-01,-5.238046596305761821e-04,-2.997383773029609760e-02,1.829386763087376868e-05
5.200000000000000178e-01,-6.437000105517606168e-04,-2.716945912848412956e-02,4.120645697028628239e-05
5.240000000000000213e-01,-7.523778470656971359e-04,-2.548362212603759100e-02,5.538958720739515671e-05
5.280000000000000249e-01,-8.543123355698474921e-04,-2.666397240230073892e-02,4.637584762727011285e-05
5.320000000000000284e-01,-9.609682251790504061e-04,-3.172646477115517727e-02,2.585000812553111632e-05
5.360000000000000320e-01,-1.087874084263671087e-03,-3.985799970696632388e-02,8.190979651999329126e-05
5.400000000000000355e-01,-1.247306083091536365e-03,-4.779489145510639608e-02,1.504949255683072046e-04
5.440000000000000391e-01,-1.438485648911961906e-03,-5.036649718495687239e-02,1.743889373104138662e-04
5.480000000000000426e-01,-1.639951637651789395e-03,-4.258428234622779751e-02,1.168448753673725769e-04
5.520000000000000462e-01,-1.810288767036700606e-03,-2.291435029078211366e-02,1.183775924593476626e-04
5.560000000000000497e-01,-1.901946168199829127e-03,3.603468019895455371e-03,3.370128006469002646e-04
5.600000000000000533e-01,-1.887532296120247388e-03,2.446163769850464090e-02,5.230197487222013183e-04
5.640000000000000568e-01,-1.789685745326228747e-03,2.296710300075325076e-02,5.177585830562648345e-04
5.680000000000000604e-01,-1.697817333323215720e-03,-1.378172927825365227e-02,2.721590055101918656e-04
5.720000000000000639e-01,-1.752944250436230334e-03,-8.435790393662535858e-02,5.822398750271772557e-04
5.760000000000000675e-01,-2.090375866182731662e-03,-1.649960468242066269e-01,1.299620391296102970e-03
5.799999999999999600e-01,-2.750360053479558326e-03,-2.107629120042010806e-01,1.732084002307572807e-03
5.839999999999999636e-01,-3.593411701496362649e-03,-1.708830754468669000e-01,1.429140611494166468e-03
5.879999999999999671e-01,-4.276944003283830210e-03,-1.731392970507608653e-02,8.007939804157527619e-04
5.919999999999999707e-01,-4.346199722104134543e-03,2.233072666842533804e-01,2.604501595390700669e-03
5.959999999999999742e-01,-3.452970655367120899e-03,4.525177123739427820e-01,4.741725128212162695e-03
5.999999999999999778e-01,-1.642899805871349652e-03,5.177920457541766996e-01,5.446325953220918122e-03
6.039999999999999813e-01,4.282683771453571400e-04,2.756960587828859444e-01,3.593350356446190635e-03
6.079999999999999849e-01,1.531052612276901032e-03,-3.113716354332490832e-01,3.812919328024924181e-03
6.119999999999999885e-01,2.855660705439046036e-04,-1.085345096615319527e+00,1.070231097260001228e-02
6.159999999999999920e-01,-4.055814315917373458e-03,-1.670933309717698823e+00,1.645341912174006285e-02
6.199999999999999956e-01,-1.073954755478816886e-02,-1.578623854689819694e+00,1.612921494215793089e-02
6.239999999999999991e-01,-1.705404297354744941e-02,-4.445107558116880853e-01,8.413953644717434011e-03
6.280000000000000027e-01,-1.883208599679420114e-02,1.660089685448664198e+00,1.870531749513147657e-02
6.320000000000000062e-01,-1.219172725499954521e-02,4.002479236545662289e+00,4.114868364834097653e-02
6.360000000000000098e-01,3.818189691183103418e-03,5.241749183341478435e+00,5.435161544013506624e-02
6.400000000000000133e-01,2.478518642454901819e-02,3.901878516647257378e+00,4.433648641983393285e-02
6.440000000000000169e-01,4.039270049113805050e-02,-7.738702046387802014e-01,2.564159474534212155e-02
6.480000000000000204e-01,3.729721967258292636e-02,-7.892540691194978919e+00,8.317990238466434205e-02
6.520000000000000240e-01,5.727056907803007579e-03,-1.444946282166415230e+01,1.496913557566439679e-01
6.560000000000000275e-01,-5.207079437885360484e-02,-1.592126724110179126e+01,1.703840933008888281e-01
6.600000000000000311e-01,-1.157558633432607675e-01,-8.195931231513498005e+00,1.109591611820980039e-01
6.640000000000000346e-01,-1.485395882693147651e-01,9.552788724498785911e+00,1.234410005448523390e-01
6.680000000000000382e-01,-1.103284333713196175e-01,3.228588357581666912e+01,3.402369415103830841e-01
6.720000000000000417e-01,1.881510093194704858e-02,4.864133689211843148e+01,5.179589735469839473e-01
6.760000000000000453e-01,2.133804485004207885e-01,4.421668212442684620e+01,5.027462985945281293e-01
6.800000000000000488e-01,3.902471769981281646e-01,8.841249111096807667e+00,2.610004863231606409e-01
6.840000000000000524e-01,4.256121734425153957e-01,-5.429769554602238202e+01,6.013517187397100505e-01
6.880000000000000560e-01,2.084213912584258754e-01,-1.223287334708461316e+02,1.303458070463922924e+00
6.920000000000000595e-01,-2.808935426249586920e-01,-1.549537102307962755e+02,1.706102082236810480e+00
6.960000000000000631e-01,-9.007083835481437539e-01,-1.092246443238348235e+02,1.375716943865176844e+00
7.000000000000000666e-01,-1.337606960843483073e+00,3.473786684897042676e+01,8.235160089398059213e-01
7.039999999999999591e-01,-1.198655493447601472e+00,2.466258718081581378e+02,2.657424241855876890e+00
7.079999999999999627e-01,-2.121520062149688801e-01,4.338376241936205133e+02,4.727163146836625529e+00
7.119999999999999662e-01,1.523198490559513285e+00,4.615108439791052319e+02,5.331433246604334819e+00
7.159999999999999698e-01,3.369241866475934266e+00,2.120640732673398929e+02,3.427236203710679163e+00
7.199999999999999734e-01,4.217498159545293390e+00,-3.289638891029521233e+02,3.998080336278839741e+00
7.239999999999999769e-01,2.901642603133484766e+00,-9.990466823911260690e+02,1.081978047143132926e+01
7.279999999999999805e-01,-1.094544126431019393e+00,-1.451413591659101030e+03,1.630974873961718075e+01
7.319999999999999840e-01,-6.900198493067423833e+00,-1.260819875638969279e+03,1.567213459833371481e+01
7.359999999999999876e-01,-1.194347799562330081e+01,-1.457593302172645053e+02,8.112852164955491219e+00
7.399999999999999911e-01,-1.252651531649235928e+01,1.761641746706243794e+03,1.933682405812180960e+01
7.439999999999999947e-01,-5.479948329667384321e+00,3.740415377002782861e+03,4.130077359604722176e+01
7.479999999999999982e-01,9.481713178343746051e+00,4.571541647411459053e+03,5.356480090271914207e+01
7.520000000000000018e-01,2.776787976798958368e+01,3.003805800389898650e+03,4.268805681400735352e+01
7.560000000000000053e-01,3.978310296954917646e+01,-1.467207469001169557e+03,2.651555489372871222e+01
7.600000000000000089e-01,3.391427309354449449e+01,-7.807818416526170040e+03,8.491942774430592067e+01
7.640000000000000124e-01,2.682999427439813900e+00,-1.314041286292846780e+04,1.493159578136365440e+02
7.680000000000000160e-01,-4.987865202427406075e+01,-1.342357543154554151e+04,1.668418960442625973e+02
7.720000000000000195e-01,-1.035729537504562359e+02,-5.303442085240036249e+03,1.058835831242543719e+02
7.760000000000000231e-01,-1.247867220914163795e+02,1.131039554875633985e+04,1.295378630728280314e+02
7.800000000000000266e-01,-7.954513989639102078e+01,3.113509472235335488e+04,3.441594078317915546e+02
7.840000000000000302e-01,4.499523899302239727e+01,4.351268713134095015e+04,5.136624992647333556e+02
7.880000000000000338e-01,2.190459875183861982e+02,3.584359779399022227e+04,4.885535443617171723e+02
7.920000000000000373e-01,3.624203786943470504e+02,4.222412689771590522e+02,2.527398434762071133e+02
7.960000000000000409e-01,3.641093437702556912e+02,-5.755482480453982134e+04,6.218938222576716726e+02
8.000000000000000444e-01,1.338900445520964126e+02,-1.151913119834166573e+05,1.308922126040419244e+03
8.040000000000000480e-01,-3.268752033815702021e+02,-1.353944236184331821e+05,1.681915542815480876e+03
8.080000000000000515e-01,-8.684528978553030356e+02,-8.166627379348076647e+04,1.324511475003293754e+03
8.120000000000000551e-01,-1.195117993029226000e+03,5.816773326984999585e+04,8.556785977998412136e+02
8.160000000000000586e-01,-9.624470599498259844e+02,2.488438538770078740e+05,2.714179434220852272e+03
8.200000000000000622e-01,3.292835555820556692e+01,4.003356658735999954e+05,4.717261618428188740e+03
8.240000000000000657e-01,1.634271019052605652e+03,3.909617870047264732e+05,5.221328249920014969e+03
8.280000000000000693e-01,3.198118167071511380e+03,1.253240706390894484e+05,3.271873347278930396e+03
8.320000000000000728e-01,3.699414449627869089e+03,-3.880435304359419388e+05,4.198083009805372058e+03
8.359999999999999654e-01,2.147240327884101134e+03,-9.765896005334847141e+05,1.094932415318575295e+04
8.399999999999999689e-01,-1.759118074249837719e+03,-1.310772131612887373e+06,1.617948260054642196e+04
